,Gene,Gene_name,Vanc_l2fc,Vanc_q,Rif_l2fc,Rif_q,INH_l2fc,INH_q,Emb_l2fc,Emb_q
2,RVBD2909c,rpsP,2.73,1,1.91,1,-2.25,1,2.99,1
3,RVBD0708,rplP,2.68,1,-0.85,1,-2.78,0.964156,5.83,1
4,RVBD2690c,rv2690c,2.20,0.000079,1.10,0.262544,1.02,0.206251,1.29,0.03981
5,RVBD1415,ribA2,2.07,1,0.00,1,0.58,1,0.00,1
6,RVBD3490,otsA,1.95,0,1.08,0.260842,-2.27,0.00163,2.22,0.000538
7,RVBD1711,rv1711,1.94,1,2.68,1,0.00,1,3.58,0.880197
8,RVBD1457c,rv1457c,1.91,1,2.78,1,-3.86,1,1.56,1
9,RVBD1202,dapE,1.85,1,0.00,1,0.00,1,0.00,1
10,RVBD0357c,purA,1.77,1,0.00,1,0.26,1,-0.15,1
11,RVBD2908c,rv2908c,1.77,1,-0.03,1,1.89,1,2.45,1
12,RVBD2904c,rplS,1.73,1,0.25,1,-2.11,1,2.01,0.84756
13,RVBD1641,infC,1.56,1,-3.27,1,0.49,1,1.00,1
14,RVBD1136,rv1136,1.52,1,-3.07,1,0.43,1,-2.75,1
15,RVBD2785c,rpsO,1.51,0.56153,0.33,1,-0.46,1,3.10,0.179645
16,RVBD2907c,rimM,1.49,1,-1.09,1,-0.28,1,2.05,0.798474
17,RVBD2702,ppgK,1.45,0.211501,0.51,1,-1.61,0.080953,3.21,0
18,RVBD1126c,rv1126c,1.42,0.746794,-0.87,1,-0.26,1,0.06,1
19,RVBD2418c,rv2418c,1.40,0.459173,0.96,1,-0.36,1,1.03,1
20,RVBD1015c,rplY,1.39,1,0.28,1,-3.27,0.973266,1.91,1
21,RVBD3024c,trmU,1.38,1,-0.25,1,-2.61,1,2.56,1
22,RVBD2395B,aprB,1.37,1,1.82,1,0.61,1,0.91,1
23,RVBD2691,ceoB,1.36,0.020987,1.03,0.251434,0.85,0.231999,0.76,0.822911
24,RVBD2694c,rv2694c,1.33,0.660312,0.92,1,0.68,1,0.41,1
25,RVBD3696c,glpK,1.33,0.006054,-1.11,1,0.41,1,4.26,0
26,RVBD2334,cysK1,1.29,0.960906,0.68,1,1.58,0.855003,0.85,1
27,RVBD3588c,canB,1.29,1,-1.26,1,0.00,1,0.43,1
28,RVBD0470c,pcaA,1.26,0.329015,0.40,1,-0.25,1,1.92,0.053605
29,RVBD2304c,rv2304c,1.26,1,0.00,1,0.00,1,0.00,1
30,RVBD1127c,ppdK,1.20,1,-0.19,1,-0.23,1,0.14,1
31,RVBD3274c,fadE25,1.20,0.092708,1.25,0.430739,-1.45,0.309681,1.22,0.051488
32,RVBD0019c,fhaB,1.18,0.101256,0.75,0.978326,0.71,0.86167,-1.68,0.000911
33,RVBD1540,rv1540,1.12,1,-0.31,1,0.18,1,2.01,1
34,RVBD1044,rv1044,1.11,1,-0.25,1,0.49,1,-0.49,1
35,RVBD0371c,rv0371c,1.08,1,-2.14,1,0.90,1,-0.15,1
36,RVBD3025c,iscS,1.08,1,0.32,1,3.25,0.627396,-0.04,1
37,RVBD2048c,pks12,1.07,0.329015,0.01,1,0.23,1,0.13,1
38,RVBD0202c,mmpL11,1.05,0.014126,-0.29,1,-0.14,1,0.26,1
39,RVBD1572c,rv1572c,1.04,1,0.51,1,1.11,1,0.80,1
40,RVBD3489,rv3489,1.03,1,3.00,1,-2.00,1,2.00,1
41,RVBD2692,ceoC,1.01,1,0.14,1,0.60,1,0.42,1
42,RVBD0540,rv0540,1.01,1,-0.03,1,-0.22,1,-0.09,1
43,RVBD1014c,pth,1.00,1,0.00,1,0.00,1,0.00,1
44,RVBD1466,rv1466,1.00,1,0.00,1,2.74,1,2.98,1
45,RVBD2364c,era,1.00,1,-2.04,1,0.00,1,-0.42,1
46,RVBD0043c,rv0043c,0.98,1,0.53,1,-1.38,0.503391,-0.22,1
47,RVBD3311,rv3311,0.97,0.99897,0.70,1,-0.28,1,-2.15,0.009955
48,RVBD0486,mshA,0.96,0.67303,1.44,0.287508,4.28,0.010658,-0.46,1
49,RVBD0896,gltA2,0.96,1,-1.17,1,0.00,1,2.73,0.62558
50,RVBD2882c,frr,0.94,1,-0.27,1,-3.84,1,0.43,1
51,RVBD2173,idsA2,0.91,0.49867,0.55,1,2.37,0,3.28,0.061815
52,RVBD2335,cysE,0.89,1,0.80,1,2.75,0.186334,0.38,1
53,RVBD0167,yrbE1A,0.87,1,0.23,1,0.01,1,-0.28,1
54,RVBD2983,rv2983,0.86,0.940388,0.57,1,1.82,0.297784,0.72,1
55,RVBD3340,metC,0.85,1,0.20,1,1.61,1,0.61,1
56,RVBD3857Ac,rv3856c,0.84,1,-1.00,1,-1.08,1,1.07,1
57,RVBD0946c,pgi,0.84,1,-0.85,0.931801,-1.31,0.099854,2.66,1
58,RVBD1112,rv1112,0.84,1,0.26,1,3.04,0.000429,0.91,1
59,RVBD2506,rv2506,0.83,1,0.78,1,1.54,0.186334,1.85,1
60,RVBD2047c,rv2047c,0.83,1,-0.35,1,-0.10,1,-0.19,1
61,RVBD2239c,rv2239c,0.82,1,0.86,1,-1.72,0.680625,2.01,0.246619
62,RVBD0887c,rv0887c,0.82,1,0.31,1,0.27,1,-0.18,1
63,RVBD2140c,TB18.6,0.80,0.897882,0.57,1,-2.20,0.009792,1.07,0.718806
64,RVBD0644c,mmaA2,0.80,0.022824,-0.07,1,-0.03,1,1.04,1
65,RVBD3200c,rv3200c,0.80,0.122099,0.79,0.219172,0.69,0.109332,0.14,1
66,RVBD1754c,rv1754c,0.80,0.229078,1.31,0.003116,0.01,1,-0.17,1
67,RVBD1170,mshB,0.79,1,0.94,1,4.19,0.000633,-0.54,1
68,RVBD2463,lipP,0.78,1,-0.17,1,-0.08,1,0.97,1
69,RVBD1797,eccE5,0.78,1,0.54,1,-1.00,1,-0.42,1
70,RVBD3853,rraA,0.77,1,-1.24,1,0.34,1,0.04,1
71,RVBD3182,rv3182,0.77,1,-0.07,1,0.75,1,0.02,1
72,RVBD0200,rv0200,0.76,1,0.90,1,-0.38,1,0.35,1
73,RVBD0699,rv0699,0.76,1,-0.72,1,-0.30,1,-1.26,1
74,RVBD1099c,glpX,0.76,1,0.10,1,-1.18,1,0.83,1
75,RVBD0763c,rv0763c,0.75,1,0.00,1,0.00,1,0.29,1
76,RVBD3422c,rv3422c,0.75,1,0.65,1,-4.00,0.074646,1.01,1
77,RVBD3131,rv3131,0.75,0.150613,0.24,1,0.42,1,0.48,1
78,RVBD1364c,rv1364c,0.75,0.339723,0.23,1,0.62,0.431118,0.07,1
79,RVBD0655,mkl,0.74,0.542945,0.38,1,-0.21,1,0.06,1
80,RVBD0173,lprK,0.74,0.489479,0.61,0.801594,-0.23,1,0.77,1
81,RVBD0170,mce1B,0.74,0.718083,0.55,1,-0.29,1,0.44,1
82,RVBD1691,rv1691,0.74,1,-0.09,1,-2.88,0.000429,1.85,0.211808
83,RVBD1010,ksgA,0.73,0.166439,-1.91,0,-0.79,0.091621,1.83,1
84,RVBD3036c,TB22.2,0.73,0.275816,0.44,1,0.31,1,0.08,1
85,RVBD2454c,rv2454c,0.73,1,-0.32,1,4.47,0.000429,0.50,1
86,RVBD3723,rv3723,0.72,1,0.75,0.786728,-0.31,1,0.16,1
87,RVBD0174,mce1F,0.72,1,0.61,1,-0.20,1,0.44,1
88,RVBD0967,csoR,0.71,1,-0.12,1,0.31,1,-0.98,1
89,RVBD0545c,pitA,0.70,1,0.57,1,0.43,1,1.30,1
90,RVBD0177,rv0177,0.70,1,0.57,1,-0.28,1,0.24,1
91,RVBD1854c,ndh,0.69,1,1.03,1,4.12,0.033523,-0.57,1
92,RVBD0169,mce1A,0.68,0.940388,0.52,1,-0.37,1,0.36,1
93,RVBD0462,lpdC,0.68,1,2.29,1,0.00,1,-0.35,1
94,RVBD0489,gpm1,0.68,1,0.00,1,0.00,1,0.00,1
95,RVBD0509,hemA,0.68,1,0.00,1,-0.32,1,-0.15,1
96,RVBD0542c,menE,0.68,1,0.00,1,0.00,1,0.00,1
97,RVBD0777,purB,0.68,1,0.00,1,0.00,1,0.00,1
98,RVBD1383,carA,0.68,1,0.00,1,0.00,1,0.00,1
99,RVBD1412,ribC,0.68,1,0.00,1,0.00,1,0.00,1
100,RVBD2457c,clpX,0.68,1,0.00,1,0.00,1,0.00,1
101,RVBD2465c,rpiB,0.68,1,0.00,1,-0.32,1,-0.15,1
102,RVBD2554c,rv2554c,0.68,1,0.00,1,0.00,1,0.00,1
103,RVBD2555c,alaS,0.68,1,0.00,1,0.00,1,0.00,1
104,RVBD2980,rv2980,0.68,1,-1.75,1,0.46,1,4.26,1
105,RVBD3257c,pmmA,0.68,1,0.00,1,0.00,1,0.00,1
106,RVBD3783,rfbD,0.68,1,1.32,1,-0.79,1,-1.15,1
107,RVBD3805c,aftB,0.68,1,-1.09,1,0.00,1,-0.42,1
108,RVBD3902c,rv3902c,0.68,1,0.00,1,-0.32,1,-0.42,1
109,RVBD3057c,rv3057c,0.67,0.406123,-0.14,1,-0.22,1,-0.64,1
110,RVBD1284,canA,0.67,1,0.08,1,0.07,1,0.05,1
111,RVBD1070c,echA8,0.67,1,0.40,1,0.17,1,3.81,0.219131
112,RVBD0513,rv0513,0.67,1,0.70,1,-0.17,1,0.34,1
113,RVBD0566c,rv0566c,0.66,1,-0.26,1,1.22,1,-0.45,1
114,RVBD1328,glgP,0.65,1,0.30,1,1.24,0.000288,0.71,1
115,RVBD0178,rv0178,0.65,1,0.57,1,-0.12,1,0.20,1
116,RVBD3228,rv3228,0.64,1,-0.68,1,1.37,0.720662,3.23,0.034523
117,RVBD0609A,rv0609A,0.64,1,0.61,1,0.24,1,0.26,1
118,RVBD1584c,rv1584c,0.63,1,0.08,1,-0.13,1,0.07,1
119,RVBD2633c,rv2633c,0.63,1,0.23,1,-0.58,1,-0.05,1
120,RVBD3601c,panD,0.62,1,-0.27,1,-1.03,1,0.26,1
121,RVBD2709,rv2709,0.62,1,0.52,1,-1.33,0.842909,0.44,1
122,RVBD0168,yrbE1B,0.62,1,0.47,1,-0.27,1,0.40,1
123,RVBD0172,mce1D,0.62,1,0.52,1,-0.34,1,0.74,1
124,RVBD2420c,rv2420c,0.62,1,-0.08,1,1.15,1,0.92,1
125,RVBD2536,rv2536,0.61,1,0.55,1,-0.20,1,0.64,1
126,RVBD1443c,rv1443c,0.61,1,1.10,1,-0.18,1,0.32,1
127,RVBD2397c,cysA1,0.60,1,-0.20,1,-1.47,0.08368,-1.39,0.131629
128,RVBD2588c,yajC,0.60,1,0.31,1,-0.01,1,-0.83,1
129,RVBD2474c,rv2474c,0.60,1,0.25,1,0.95,1,-0.13,1
130,RVBD0734,mapA,0.60,1,0.19,1,0.07,1,0.44,1
131,RVBD0175,rv0175,0.60,1,0.30,1,-0.16,1,-0.15,1
132,RVBD2911,dacB2,0.60,1,0.01,1,0.17,1,0.00,1
133,RVBD0315,rv0315,0.58,1,0.76,1,0.03,1,-0.37,1
134,RVBD3420c,rimI,0.58,1,0.32,1,0.03,1,1.04,1
135,RVBD0199,rv0199,0.58,1,0.59,1,-0.10,1,0.27,1
136,RVBD3824c,papA1,0.58,0.960906,0.26,1,-0.17,1,0.50,1
137,RVBD0544c,rv0544c,0.57,1,0.62,1,0.06,1,1.20,1
138,RVBD0819,mshD,0.57,1,0.54,1,3.64,0.000109,-0.23,1
139,RVBD1616,rv1616,0.57,1,0.47,1,-0.15,1,1.33,0.580287
140,RVBD2222c,glnA2,0.57,1,0.25,1,1.10,0.887595,0.59,1
141,RVBD2707,rv2707,0.57,1,0.55,1,-1.28,0.033884,-0.47,1
142,RVBD3155,nuoK,0.57,1,0.54,1,-0.08,1,0.80,1
143,RVBD2115c,mpa,0.57,1,-0.12,1,0.23,1,-1.56,0.47959
144,RVBD0191,rv0191,0.55,1,-0.49,1,-0.27,1,0.81,1
145,RVBD2367c,rv2367c,0.55,1,-0.03,1,0.10,1,0.37,1
146,RVBD0176,rv0176,0.55,0.499158,0.60,0.466125,-0.46,1,-0.24,1
147,RVBD2398c,cysW,0.54,0.771852,-1.00,0.079206,-0.78,0.364932,-1.12,0.170784
148,RVBD0468,fadB2,0.54,1,0.50,1,0.59,0.735987,1.21,0.061815
149,RVBD1421,rv1421,0.54,1,0.15,1,0.48,1,-2.89,0.213337
150,RVBD0006,gyrA,0.53,1,0.32,1,0.70,1,0.00,1
151,RVBD1480,rv1480,0.53,1,-0.54,1,2.26,1,-0.61,1
152,RVBD3820c,papA2,0.53,1,0.23,1,-0.12,1,0.94,1
153,RVBD0596c,vapB4,0.52,1,-0.13,1,0.02,1,0.32,1
154,RVBD3331,sugI,0.52,1,0.56,1,0.03,1,1.14,0.573907
155,RVBD0697,rv0697,0.52,1,-0.58,1,0.07,1,-0.41,1
156,RVBD1071c,echA9,0.52,1,0.59,1,0.31,1,2.20,0.360939
157,RVBD1334,mec,0.51,1,0.07,1,1.23,0.239854,-0.14,1
158,RVBD1337,rv1337,0.51,1,0.28,1,0.16,1,0.00,1
159,RVBD0340,rv0340,0.51,1,0.29,1,-0.29,1,-0.39,1
160,RVBD2867c,rv2867c,0.50,1,0.41,1,-0.62,1,-0.26,1
161,RVBD1335,cysO,0.50,1,0.46,1,0.73,1,0.07,1
162,RVBD1238,sugC,0.49,1,0.28,1,0.00,1,0.07,1
163,RVBD1323,fadA4,0.49,1,-0.04,1,-0.38,1,-0.50,1
164,RVBD1188,rv1188,0.49,1,0.09,1,0.33,1,0.16,1
165,RVBD2503c,scoB,0.49,1,0.05,1,-0.09,1,0.24,1
166,RVBD0667,rpoB,0.49,1,0.00,1,0.00,1,0.00,1
167,RVBD1327c,glgE,0.49,1,0.00,1,1.52,1,-0.42,1
168,RVBD1382,rv1382,0.49,1,0.00,1,-0.32,1,-0.15,1
169,RVBD1408,rpe,0.49,1,0.00,1,0.00,1,0.00,1
170,RVBD2050,rv2050,0.49,1,0.00,1,0.00,1,0.00,1
171,RVBD2174,mptA,0.49,1,0.00,1,0.00,1,0.00,1
172,RVBD2873A,mpt83,0.49,1,1.91,1,-2.70,1,2.82,1
173,RVBD2927c,rv2927c,0.49,1,0.00,1,-0.32,1,-0.15,1
174,RVBD3208,rv3208,0.49,1,0.00,1,0.00,1,0.74,1
175,RVBD3456c,rplQ,0.49,1,0.00,1,0.00,1,0.00,1
176,RVBD3722c,rv3722c,0.49,1,0.00,1,0.26,1,-1.29,1
177,RVBD1021,rv1021,0.48,1,-0.18,1,0.17,1,-0.24,1
178,RVBD1193,fadD36,0.47,1,0.28,1,0.82,0.792712,0.60,1
179,RVBD2847c,cysG,0.46,1,0.03,1,3.98,0,-1.15,1
180,RVBD2403c,lppR,0.46,1,-0.88,1,0.55,1,-0.19,1
181,RVBD0554,bpoC,0.46,1,-0.17,1,0.47,1,-0.20,1
182,RVBD1794,rv1794,0.46,1,-2.64,1,0.00,1,0.00,1
183,RVBD0171,mce1C,0.46,1,0.51,1,-0.28,1,0.49,1
184,RVBD2919c,glnB,0.46,1,-1.34,1,0.55,1,-0.45,1
185,RVBD1034c,rv1034c,0.45,1,-1.08,1,-0.17,1,-1.83,1
186,RVBD3849,espR,0.45,1,0.11,1,-3.32,0.000202,-0.89,1
187,RVBD2640c,rv2640c,0.45,1,0.94,0.544704,-2.01,0.00675,0.64,1
188,RVBD0328,rv0328,0.44,1,0.68,1,-2.50,1,0.34,1
189,RVBD1345,mbtM,0.44,1,0.18,1,0.47,1,0.00,1
190,RVBD0868c,moaD2,0.44,1,0.19,1,-0.19,1,-0.07,1
191,RVBD2404c,lepA,0.44,1,0.44,1,3.76,0,-0.10,1
192,RVBD2419c,gpgP,0.44,1,-0.03,1,0.64,1,0.75,1
193,RVBD0245,rv0245,0.43,1,0.04,1,-0.35,1,-0.14,1
194,RVBD1665,pks11,0.43,1,0.26,1,0.26,1,0.10,1
195,RVBD0991c,rv0991c,0.42,1,0.25,1,-3.23,0.653063,0.10,1
196,RVBD2739c,rv2739c,0.42,1,0.28,1,-0.02,1,0.45,1
197,RVBD3850,rv3850,0.42,1,0.13,1,-1.48,1,0.02,1
198,RVBD1388,mihF,0.42,1,-1.10,1,-0.08,1,-1.05,1
199,RVBD1213,glgC,0.42,1,0.24,1,-1.77,0,0.34,1
200,RVBD3844,rv3844,0.42,1,-0.53,1,0.02,1,-0.51,1
201,RVBD0056,rplI,0.42,1,0.57,1,2.27,0.329108,-0.41,1
202,RVBD3002c,ilvN,0.42,1,-1.10,1,-1.35,1,-0.58,1
203,RVBD0912,rv0912,0.41,0.960906,0.28,1,0.24,1,-1.41,1
204,RVBD3528c,rv3528c,0.41,1,0.16,1,0.24,1,0.13,1
205,RVBD2318,uspC,0.41,1,-0.37,1,0.38,1,-0.22,1
206,RVBD1446c,opcA,0.41,1,0.01,1,0.64,1,-0.67,1
207,RVBD0759c,rv0759c,0.41,1,-0.35,1,0.09,1,0.12,1
208,RVBD1829,rv1829,0.41,1,0.41,1,1.26,1,0.20,1
209,RVBD1144Ac,rv1144,0.40,1,-0.59,1,0.02,1,0.12,1
210,RVBD1333,rv1333,0.40,1,0.43,1,0.50,1,-0.04,1
211,RVBD2026c,rv2026c,0.40,1,-0.73,1,0.38,1,-0.11,1
212,RVBD0698,rv0698,0.40,1,0.41,1,0.14,1,0.41,1
213,RVBD1366A,rv1366A,0.40,1,0.25,1,0.38,1,-0.08,1
214,RVBD3501c,yrbE4A,0.40,1,0.14,1,0.28,1,-0.29,1
215,RVBD0250c,rv0250c,0.40,1,0.14,1,0.10,1,0.59,1
216,RVBD2782c,pepR,0.40,1,0.47,1,0.24,1,-0.07,1
217,RVBD1016c,lpqT,0.40,1,0.44,1,-0.11,1,0.35,1
218,RVBD3108,rv3108,0.40,1,0.07,1,0.30,1,-0.08,1
219,RVBD1379,pyrR,0.39,1,-0.91,1,-0.56,1,-0.49,1
220,RVBD1738,rv1738,0.39,1,0.26,1,-0.11,1,0.67,1
221,RVBD2317,uspB,0.39,1,-0.89,1,0.63,1,-0.15,1
222,RVBD1003,rv1003,0.39,1,0.40,1,0.05,1,0.74,0.161126
223,RVBD1324,rv1324,0.39,1,0.44,1,2.63,0.000202,0.63,0.242395
224,RVBD1942c,mazF5,0.38,1,-0.10,1,0.12,1,0.03,1
225,RVBD2301,cut2,0.37,1,0.34,1,0.05,1,-0.49,1
226,RVBD1344,mbtL,0.37,1,0.13,1,0.26,1,0.02,1
227,RVBD3825c,pks2,0.37,0.489479,0.06,1,0.05,1,0.76,1
228,RVBD3348,rv3348,0.37,1,-0.67,1,0.10,1,-0.40,1
229,RVBD2816c,rv2816c,0.37,1,-0.22,1,-0.14,1,0.43,1
230,RVBD1615,rv1615,0.36,1,0.47,1,-0.25,1,0.82,0.891634
231,RVBD2428,ahpC,0.36,1,-0.46,1,-4.13,0.000565,-0.04,1
232,RVBD0324,rv0324,0.36,1,0.47,1,-1.35,0.219329,0.39,1
233,RVBD1644,tsnR,0.36,1,-0.08,1,-0.03,1,0.38,1
234,RVBD0467,icl1,0.35,1,1.92,0.793074,-1.00,1,1.06,1
235,RVBD2450c,rpfE,0.35,1,0.28,1,0.27,1,-0.92,1
236,RVBD0773c,ggtA,0.35,1,0.33,1,-0.33,1,-0.21,1
237,RVBD1948c,rv1948c,0.35,1,-0.22,1,0.01,1,0.22,1
238,RVBD1745c,idi,0.35,1,0.62,1,1.28,1,0.48,1
239,RVBD2856A,nicT,0.35,1,-0.73,1,0.73,1,-0.37,1
240,RVBD0959A,vapB9,0.34,1,0.41,1,0.01,1,0.11,1
241,RVBD2929,rv2929,0.34,1,0.06,1,0.63,1,0.15,1
242,RVBD2858c,aldC,0.34,1,0.08,1,0.36,1,0.33,1
243,RVBD0674,rv0674,0.34,1,0.59,1,-1.06,1,0.87,1
244,RVBD3565,aspB,0.34,1,0.29,1,-1.14,1,-0.27,1
245,RVBD2112c,dop,0.34,1,0.08,1,-0.30,1,-0.92,1
246,RVBD1474c,rv1474c,0.34,1,0.48,1,0.00,1,0.78,1
247,RVBD0069c,sdaA,0.34,1,-0.12,1,-0.15,1,0.17,1
248,RVBD2706c,rv2706c,0.34,1,0.76,1,-0.96,1,-0.47,1
249,RVBD2630,rv2630,0.33,1,-0.02,1,-0.12,1,-0.22,1
250,RVBD3652,PE_PGRS60,0.33,1,0.08,1,-0.22,1,0.13,1
251,RVBD1341,rv1341,0.33,1,-0.13,1,0.54,1,-0.40,1
252,RVBD0292,eccE3,0.33,1,0.15,1,-0.13,1,0.11,1
253,RVBD0401,rv0401,0.33,1,-0.39,1,0.29,1,-0.56,1
254,RVBD2530c,vapC39,0.33,1,0.13,1,-0.21,1,-0.47,1
255,RVBD3168,rv3168,0.33,1,-0.73,0.801594,0.29,1,-0.80,1
256,RVBD3826,fadD23,0.33,1,0.34,1,0.04,1,0.74,1
257,RVBD2856B,nicT,0.33,1,-0.26,1,0.59,0.55354,-0.30,1
258,RVBD3492c,rv3492c,0.33,1,0.15,1,-1.11,1,-0.99,1
259,RVBD1336,cysM,0.33,1,0.10,1,1.00,1,-0.11,1
260,RVBD0615,rv0615,0.32,1,0.42,1,0.06,1,0.32,1
261,RVBD3085,rv3085,0.32,1,-0.18,1,-0.04,1,0.30,1
262,RVBD1340,rphA,0.32,1,-2.18,0,0.73,1,0.14,1
263,RVBD3654c,rv3654c,0.32,1,0.42,1,-0.20,1,1.69,1
264,RVBD3192,rv3192,0.32,1,-0.56,1,0.46,1,-0.22,1
265,RVBD0295c,rv0295c,0.32,1,0.26,1,-0.03,1,0.72,1
266,RVBD1185c,fadD21,0.32,1,0.01,1,-0.15,1,0.96,0.051123
267,RVBD3398c,idsA1,0.32,1,0.24,1,-0.13,1,-0.41,1
268,RVBD3046c,rv3046c,0.32,1,0.13,1,-0.48,1,0.41,1
269,RVBD3600c,rv3600c,0.31,1,-0.37,1,-2.29,0,0.35,1
270,RVBD1276c,rv1276c,0.31,1,0.72,1,0.31,1,0.04,1
271,RVBD2063,mazE7,0.31,1,-0.09,1,-0.49,1,0.93,1
272,RVBD0941c,rv0941c,0.31,1,0.22,1,0.31,1,0.26,1
273,RVBD3493c,rv3493c,0.31,1,0.15,1,-0.35,1,0.22,1
274,RVBD2097c,pafA,0.31,1,-0.25,1,-0.09,1,-1.34,1
275,RVBD0067c,rv0067c,0.31,1,0.09,1,-1.63,0.030762,0.31,1
276,RVBD1420,uvrC,0.31,1,0.34,1,-0.20,1,-0.97,0.110207
277,RVBD1352,rv1352,0.31,1,0.15,1,0.02,1,-0.29,1
278,RVBD0464c,rv0464c,0.31,1,-0.14,1,-0.08,1,-0.41,1
279,RVBD0619,galTb,0.31,1,0.00,1,-0.16,1,-0.06,1
280,RVBD3229c,desA3,0.31,1,-0.46,1,-0.62,1,-0.51,1
281,RVBD2399c,cysT,0.31,1,-1.40,0.544704,-1.60,0.835401,-1.75,0.880197
282,RVBD0036c,rv0036c,0.31,1,0.28,1,0.15,1,0.21,1
283,RVBD3417c,groEL1,0.31,1,0.18,1,0.37,1,0.66,1
284,RVBD3845,rv3845,0.31,1,-0.51,1,-0.18,1,-0.18,1
285,RVBD1354c,rv1354c,0.31,1,0.22,1,-0.05,1,0.16,1
286,RVBD0867c,rpfA,0.30,1,-0.23,1,-0.46,1,-0.28,1
287,RVBD1152,rv1152,0.30,1,0.04,1,0.24,1,-0.20,1
288,RVBD1669,rv1669,0.30,1,-0.30,1,0.12,1,-0.13,1
289,RVBD0972c,fadE12,0.30,1,-0.30,1,0.20,1,-0.06,1
290,RVBD0623,vapB30,0.30,1,0.34,1,0.18,1,0.07,1
291,RVBD1286,cysN,0.30,1,0.31,1,-0.35,1,0.63,1
292,RVBD3864,espE,0.30,1,-0.01,1,-0.21,1,0.37,1
293,RVBD2632c,rv2632c,0.30,1,0.37,1,-0.44,1,0.01,1
294,RVBD1957,rv1957,0.30,1,0.77,0.806087,2.16,0,1.45,0.441377
295,RVBD1455,rv1455,0.30,1,0.23,1,0.58,1,-0.43,1
296,RVBD2499c,rv2499c,0.30,1,0.15,1,0.02,1,0.44,1
297,RVBD0771,rv0771,0.30,1,0.04,1,0.42,1,-0.15,1
298,RVBD3770B,rv3770B,0.29,1,-0.66,1,0.23,1,-0.22,1
299,RVBD2023A,rv2023A,0.29,1,0.11,1,0.08,1,-0.32,1
300,RVBD1135A,rv1135A,0.29,1,0.18,1,-0.10,1,0.20,1
301,RVBD3319,sdhB,0.29,1,0.12,1,0.56,1,0.31,1
302,RVBD3777,rv3777,0.29,1,0.11,1,0.43,1,1.29,1
303,RVBD1236,sugA,0.29,1,0.11,1,-0.03,1,0.10,1
304,RVBD2956,rv2956,0.29,1,0.25,1,0.23,1,-0.74,1
305,RVBD3549c,rv3549c,0.29,1,-0.56,1,0.05,1,0.22,1
306,RVBD3518c,cyp142,0.29,1,0.06,1,0.08,1,-0.11,1
307,RVBD2795c,rv2795c,0.29,1,0.26,1,-0.27,1,0.18,1
308,RVBD2277c,rv2277c,0.29,1,-0.08,1,-0.60,1,-0.69,1
309,RVBD1785c,cyp143,0.29,1,0.06,1,-0.02,1,0.53,1
310,RVBD2910c,rv2910c,0.29,1,0.12,1,0.69,1,0.53,1
311,RVBD0694,lldD1,0.29,1,0.39,1,-0.33,1,-0.95,1
312,RVBD3240c,secA1,0.29,1,1.08,0.287508,0.30,1,-2.36,0.370423
313,RVBD1564c,treX,0.28,1,0.34,1,0.18,1,0.03,1
314,RVBD0989c,grcC2,0.28,1,0.13,1,0.44,1,-0.18,1
315,RVBD0804,rv0804,0.28,1,0.29,1,-0.05,1,0.20,1
316,RVBD2316,uspA,0.28,1,0.21,1,0.36,1,-0.06,1
317,RVBD2146c,rv2146c,0.28,1,-1.33,1,0.39,1,0.84,1
318,RVBD0889c,citA,0.28,1,0.18,1,-1.82,1,-1.25,1
319,RVBD1507c,rv1507c,0.28,1,0.30,1,0.00,1,0.12,1
320,RVBD1560,vapB11,0.28,1,0.76,1,0.19,1,0.42,1
321,RVBD0774c,rv0774c,0.28,1,0.46,1,0.07,1,0.25,1
322,RVBD1561,vapC11,0.28,1,0.20,1,-0.36,1,0.13,1
323,RVBD3157,nuoM,0.28,1,0.13,1,-0.02,1,0.61,1
324,RVBD2567,rv2567,0.28,1,0.32,1,0.58,1,-0.03,1
325,RVBD2293c,rv2293c,0.28,1,0.34,1,-0.16,1,0.09,1
326,RVBD0894,rv0894,0.28,1,-0.27,1,0.15,1,-0.14,1
327,RVBD3495c,lprN,0.28,1,0.18,1,-0.18,1,0.02,1
328,RVBD3173c,rv3173c,0.28,1,0.09,1,-0.50,1,0.17,1
329,RVBD3114,rv3114,0.27,1,0.26,1,-0.15,1,0.50,1
330,RVBD0696,rv0696,0.27,1,0.35,1,0.20,1,0.31,1
331,RVBD2967c,pca,0.27,1,0.68,1,0.36,1,0.17,1
332,RVBD3378c,rv3378c,0.27,1,-0.07,1,0.23,1,0.63,1
333,RVBD3867,espH,0.27,1,0.14,1,-0.21,1,-0.02,1
334,RVBD1460,rv1460,0.27,1,0.40,1,0.73,1,-0.45,1
335,RVBD1165,typA,0.27,1,0.25,1,0.62,1,-0.21,1
336,RVBD0344c,lpqJ,0.27,1,-0.14,1,-0.16,1,-0.60,1
337,RVBD1765A,rv1765A,0.27,1,-0.94,1,0.86,1,0.08,1
338,RVBD2085,rv2085,0.27,1,0.60,1,-0.12,1,0.39,1
339,RVBD0476,rv0476,0.27,1,0.19,1,0.62,1,1.11,0.370423
340,RVBD0997,rv0997,0.27,1,0.36,1,-0.09,1,0.36,1
341,RVBD2429,ahpD,0.27,1,0.10,1,-3.83,0.000109,-0.22,1
342,RVBD2481c,rv2481c,0.27,1,-1.39,0.828471,0.50,1,-0.96,0.772446
